OrderID,CustomerName,City,Product,Category,Quantity,Price,OrderDate
2,Anita,Mumbai,Webcam,Accessories,4,2073.24,2026-01-07
4,Anita,Hyderabad,Keyboard,Accessories,4,29668.65,2026-07-28
6,Arjun,Mumbai,Mobile,Electronics,4,5287.46,2026-07-12
7,Shalini,Kolkata,Laptop,Electronics,4,27043.29,2026-04-03
12,Suresh,Hyderabad,Mouse,Accessories,5,11370.95,2026-03-27
14,Deepak,Pune,Keyboard,Accessories,4,20083.78,2026-06-15
16,Deepak,Hyderabad,Webcam,Accessories,4,18418.82,2026-02-17
18,Kavita,Bhopal,Mobile,Electronics,4,19390.15,2026-04-17
21,Karan,Lucknow,Headphones,Accessories,5,45675.08,2026-07-21
23,Anita,Lucknow,Laptop,Electronics,5,16545.72,2026-01-04
25,Rahul,Jaipur,Mobile,Electronics,5,38408.8,2026-02-22
28,Divya,Jaipur,Speaker,Accessories,4,6489.71,2026-02-03
29,Arjun,Delhi,Webcam,Accessories,5,11890.68,2026-02-01
32,Vikram,Bhopal,Webcam,Accessories,4,12528.36,2026-04-26
37,Anita,Mumbai,Laptop,Electronics,5,41883.37,2026-01-25
38,Neha,Bangalore,Tablet,Electronics,4,24327.24,2026-07-13
40,Suresh,Kolkata,Tablet,Electronics,5,33262.63,2026-04-05
42,Arjun,Delhi,Laptop,Electronics,5,24101.03,2026-07-17
45,Deepak,Bhopal,Laptop,Electronics,5,4558.18,2026-06-19
48,Arjun,Mumbai,Laptop,Electronics,4,31247.38,2026-05-04
49,Rahul,Lucknow,Keyboard,Accessories,5,13627.42,2026-03-03
53,Vikram,Kolkata,Mouse,Accessories,5,10926.17,2026-03-07
56,Karan,Bangalore,Printer,Accessories,5,35430.54,2026-05-01
57,Sneha,Mumbai,Headphones,Accessories,5,2283.39,2026-03-19
68,Arjun,Hyderabad,Webcam,Accessories,5,6224.47,2026-05-07
71,Arjun,Mumbai,Mouse,Accessories,5,15809.59,2026-04-11
74,Pooja,Kolkata,Keyboard,Accessories,4,39395.06,2026-05-21
75,Arjun,Jaipur,Printer,Accessories,4,33943.55,2026-05-16
76,Anjali,Mumbai,Mouse,Accessories,5,33360.76,2026-05-11
78,Priya,Chennai,Printer,Accessories,5,42562.02,2026-01-15
79,Kavita,Bhopal,Keyboard,Accessories,4,24971.67,2026-02-05
82,Vikram,Jaipur,Speaker,Accessories,5,29974.89,2026-07-15
83,Shalini,Lucknow,Tablet,Electronics,5,22572.72,2026-02-24
88,Kavita,Pune,Speaker,Accessories,4,21080.82,2026-02-27
