OrderID,CustomerName,City,Product,Category,Quantity,Price,OrderDate
1,Sneha,Delhi,Mouse,Accessories,2,11548.93,2026-06-04
2,Anita,Mumbai,Webcam,Accessories,4,2073.24,2026-01-07
3,Neha,Lucknow,Webcam,Accessories,1,28281.63,2026-06-21
4,Anita,Hyderabad,Keyboard,Accessories,4,29668.65,2026-07-28
5,Amit,Bangalore,Tablet,Electronics,3,14254.63,2026-02-25
6,Arjun,Mumbai,Mobile,Electronics,4,5287.46,2026-07-12
7,Shalini,Kolkata,Laptop,Electronics,4,27043.29,2026-04-03
8,Anita,Kolkata,Webcam,Accessories,3,29078.93,2026-06-03
9,Priya,Chennai,Mouse,Accessories,1,42838.23,2026-07-04
10,Manish,Kolkata,Printer,Accessories,3,8551.38,2026-03-07
11,Karan,Mumbai,Webcam,Accessories,2,26939.92,2026-02-06
12,Suresh,Hyderabad,Mouse,Accessories,5,11370.95,2026-03-27
13,Priya,Chennai,Laptop,Electronics,3,20357.66,2026-01-07
14,Deepak,Pune,Keyboard,Accessories,4,20083.78,2026-06-15
15,Vikram,Kolkata,Headphones,Accessories,2,37376.95,2026-05-09
16,Deepak,Hyderabad,Webcam,Accessories,4,18418.82,2026-02-17
17,Meena,Mumbai,Laptop,Electronics,1,8065.65,2026-02-26
18,Kavita,Bhopal,Mobile,Electronics,4,19390.15,2026-04-17
19,Karan,Lucknow,Laptop,Electronics,1,34244.66,2026-05-25
20,Karan,Pune,Mobile,Electronics,3,22020.88,2026-04-01
21,Karan,Lucknow,Headphones,Accessories,5,45675.08,2026-07-21
22,Pooja,Lucknow,Webcam,Accessories,2,8065.54,2026-07-06
23,Anita,Lucknow,Laptop,Electronics,5,16545.72,2026-01-04
24,Divya,Kolkata,Keyboard,Accessories,1,12423.14,2026-05-03
25,Rahul,Jaipur,Mobile,Electronics,5,38408.8,2026-02-22
26,Meena,Lucknow,Headphones,Accessories,3,26619.85,2026-05-14
27,Rohan,Lucknow,Keyboard,Accessories,3,20250.12,2026-06-21
28,Divya,Jaipur,Speaker,Accessories,4,6489.71,2026-02-03
29,Arjun,Delhi,Webcam,Accessories,5,11890.68,2026-02-01
30,Rahul,Delhi,Keyboard,Accessories,1,45318.29,2026-07-11
31,Rahul,Lucknow,Keyboard,Accessories,3,33614.4,2026-02-18
32,Vikram,Bhopal,Webcam,Accessories,4,12528.36,2026-04-26
33,Kavita,Chennai,Mobile,Electronics,1,33119.65,2026-03-14
34,Kavita,Jaipur,Laptop,Electronics,1,3500.33,2026-06-11
